commit	metric	status	description
5f2af2a	5.000000	keep	fish-room-sale.html                               
ecfbe67	5.000000	discard	no_improvement_5.0000_vs_5.0000
b327ed8	5.000000	discard	no_improvement_5.0000_vs_5.0000
da16237	5.000000	discard	no_improvement_5.0000_vs_5.0000
62064bc	5.000000	discard	no_improvement_5.0000_vs_5.0000
791d3e9	5.000000	discard	no_improvement_5.0000_vs_5.0000
